keys,en,es,ja
New Game,New Game,Nueva partida,ニューゲーム
Continue,Continue,Continuar,続ける
Load Game,Load Game,Cargar partida,ロード
Save Game,Save Game,Guardar partida,セーブ
Settings,Settings,Ajustes,設定
Quit,Quit,Salir,終了
Paused,Paused,Pausado,一時停止
Resume,Resume,Reanudar,再開
Restart,Restart,Reiniciar,リスタート
Main Menu,Main Menu,Menú principal,メインメニュー
Game Over,Game Over,Fin del juego,ゲームオーバー
Retry,Retry,Reintentar,やり直し
Level Complete!,Level Complete!,¡Nivel completado!,レベルクリア！
Continue ▶,Continue ▶,Continuar ▶,続ける ▶
Master Volume,Master Volume,Volumen general,マスター音量
SFX Volume,SFX Volume,Volumen de efectos,効果音音量
Music Volume,Music Volume,Volumen de música,音楽音量
Fullscreen,Fullscreen,Pantalla completa,フルスクリーン
Resolution,Resolution,Resolución,解像度
Language,Language,Idioma,言語
Screen Shake,Screen Shake,Vibración de pantalla,画面の揺れ
Subtitles,Subtitles,Subtítulos,字幕
Damage Numbers,Damage Numbers,Números de daño,ダメージ表示
Close,Close,Cerrar,閉じる
On,On,Activado,オン
Save,Save,Guardar,セーブ
Load,Load,Cargar,ロード
Cancel,Cancel,Cancelar,キャンセル
Delete,Delete,Eliminar,削除
Empty Slot,Empty Slot,Ranura vacía,空きスロット
Autosave,Autosave,Autoguardado,オートセーブ
No autosave,No autosave,Sin autoguardado,オートセーブなし
Save Name:,Save Name:,Nombre de guardado:,セーブ名：
Save Slots:,Save Slots:,Ranuras de guardado:,セーブスロット：
